2024-12-18 16:46:06,984 - INFO - Received valid ACK 45 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,992 - INFO - Received valid ACK 45 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,000 - INFO - Received valid ACK 45 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,008 - INFO - Received valid ACK 45 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,016 - INFO - Received valid ACK 46 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,024 - INFO - Received valid ACK 46 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,032 - INFO - Received valid ACK 46 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,040 - INFO - Received valid ACK 46 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,048 - INFO - Received valid ACK 47 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,056 - INFO - Received valid ACK 47 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,064 - INFO - Received valid ACK 47 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,074 - INFO - Received valid ACK 47 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,081 - INFO - Received valid ACK 48 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,089 - INFO - Received valid ACK 48 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,097 - INFO - Received valid ACK 48 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,105 - INFO - Received valid ACK 48 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,113 - INFO - Received valid ACK 49 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,121 - INFO - Received valid ACK 49 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,129 - INFO - Received valid ACK 49 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,136 - INFO - Received valid ACK 49 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,145 - INFO - Received valid ACK 50 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,152 - INFO - Received valid ACK 50 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,161 - INFO - Received valid ACK 50 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,168 - INFO - Received valid ACK 50 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,176 - INFO - Received valid ACK 51 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,184 - INFO - Received valid ACK 51 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,192 - INFO - Received valid ACK 51 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,201 - INFO - Received valid ACK 51 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,209 - INFO - Received valid ACK 52 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,216 - INFO - Received valid ACK 52 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,224 - INFO - Received valid ACK 52 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,232 - INFO - Received valid ACK 52 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,240 - INFO - Received valid ACK 53 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,248 - INFO - Received valid ACK 53 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,256 - INFO - Received valid ACK 53 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,264 - INFO - Received valid ACK 53 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,271 - INFO - Received valid ACK 54 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,279 - INFO - Received valid ACK 54 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,287 - INFO - Received valid ACK 54 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,295 - INFO - Received valid ACK 54 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,302 - INFO - Received valid ACK 55 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,311 - INFO - Received valid ACK 55 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,320 - INFO - Received valid ACK 55 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,328 - INFO - Received valid ACK 55 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,337 - INFO - Received valid ACK 56 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,346 - INFO - Received valid ACK 56 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,354 - INFO - Received valid ACK 56 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,362 - INFO - Received valid ACK 56 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,370 - INFO - Received valid ACK 57 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,378 - INFO - Received valid ACK 57 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,386 - INFO - Received valid ACK 57 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,394 - INFO - Received valid ACK 57 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,401 - INFO - Received valid ACK 58 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,409 - INFO - Received valid ACK 58 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,416 - INFO - Received valid ACK 58 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,425 - INFO - Received valid ACK 58 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,432 - INFO - Received valid ACK 59 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,440 - INFO - Received valid ACK 59 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,448 - INFO - Received valid ACK 59 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,456 - INFO - Received valid ACK 59 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,464 - INFO - Received valid ACK 60 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,471 - INFO - Received valid ACK 60 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,480 - INFO - Received valid ACK 60 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,488 - INFO - Received valid ACK 60 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,496 - INFO - Received valid ACK 61 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,504 - INFO - Received valid ACK 61 from ('127.0.0.1', 52525)
2024-12-18 16:46:07,512 - INFO - Received valid ACK 61 from ('127.0.0.1', 63578)
2024-12-18 16:46:07,519 - INFO - Received valid ACK 61 from ('127.0.0.1', 52603)
2024-12-18 16:46:07,527 - INFO - Received valid ACK 62 from ('127.0.0.1', 51982)
2024-12-18 16:46:07,535 - INFO - Received valid ACK 62 from ('127.0.0.1', 52525)
